Region,Country/ Territory,Data collection,Year,Received
Africa,Ethiopia,GLOTIP,2020,0
Africa,Ethiopia,GLOTIP,2021,0
Africa,Ethiopia,GLOTIP,2022,0
Africa,Ethiopia,IDS,2019,0
Africa,Ethiopia,IDS,2020,0
Africa,Ethiopia,IDS,2021,0
Africa,Ethiopia,IDS,2022,0
Africa,Ethiopia,UN-CTS,2019,0
Africa,Ethiopia,UN-CTS,2020,0
Africa,Ethiopia,UN-CTS,2021,0
Africa,Ethiopia,UN-CTS,2022,0
Africa,Ethiopia,UN-IAFQ,2019,0
Africa,Ethiopia,UN-IAFQ,2020,0
Africa,Ethiopia,UN-IAFQ,2021,0
Africa,Ethiopia,UN-IAFQ,2022,0
Africa,French Southern Territories,ARQ,2019,0
Africa,French Southern Territories,ARQ,2020,0
Africa,French Southern Territories,ARQ,2021,0
Africa,French Southern Territories,ARQ,2022,0
Africa,French Southern Territories,GLOTIP,2019,0
Africa,French Southern Territories,GLOTIP,2020,0
Africa,French Southern Territories,GLOTIP,2021,0
Africa,French Southern Territories,GLOTIP,2022,0
Africa,French Southern Territories,IDS,2019,0
Africa,French Southern Territories,IDS,2020,0
Africa,French Southern Territories,IDS,2021,0
Africa,French Southern Territories,IDS,2022,0
Africa,French Southern Territories,UN-CTS,2019,0
Africa,French Southern Territories,UN-CTS,2020,0
Africa,French Southern Territories,UN-CTS,2021,0
Africa,French Southern Territories,UN-CTS,2022,0
Africa,French Southern Territories,UN-IAFQ,2019,0
Africa,French Southern Territories,UN-IAFQ,2020,0
Africa,French Southern Territories,UN-IAFQ,2021,0
Africa,French Southern Territories,UN-IAFQ,2022,0
Africa,Gabon,ARQ,2019,0
Africa,Gabon,ARQ,2020,0
Africa,Gabon,ARQ,2021,0
Africa,Gabon,ARQ,2022,0
Africa,Gabon,GLOTIP,2019,0
Africa,Gabon,GLOTIP,2020,0
Africa,Gabon,GLOTIP,2021,0
Africa,Gabon,GLOTIP,2022,0
Africa,Gabon,IDS,2019,0
Africa,Gabon,IDS,2020,0
Africa,Gabon,IDS,2021,0
Africa,Gabon,IDS,2022,0
Africa,Gabon,UN-CTS,2019,0
Africa,Gabon,UN-CTS,2020,0
Africa,Gabon,UN-CTS,2021,0
Africa,Gabon,UN-CTS,2022,0
Africa,Gabon,UN-IAFQ,2019,0
Africa,Gabon,UN-IAFQ,2020,0
Africa,Gabon,UN-IAFQ,2021,0
Africa,Gabon,UN-IAFQ,2022,0
Africa,Gambia (Republic of The),ARQ,2019,0
Africa,Gambia (Republic of The),ARQ,2020,0
Africa,Gambia (Republic of The),ARQ,2021,0
Africa,Gambia (Republic of The),ARQ,2022,1
Africa,Gambia (Republic of The),GLOTIP,2019,0
Africa,Gambia (Republic of The),GLOTIP,2020,0
Africa,Gambia (Republic of The),GLOTIP,2021,0
Africa,Gambia (Republic of The),GLOTIP,2022,0
Africa,Gambia (Republic of The),IDS,2019,0
Africa,Gambia (Republic of The),IDS,2020,0
Africa,Gambia (Republic of The),IDS,2021,0
Africa,Gambia (Republic of The),IDS,2022,0
Africa,Gambia (Republic of The),UN-CTS,2019,0
Africa,Gambia (Republic of The),UN-CTS,2020,0
Africa,Gambia (Republic of The),UN-CTS,2021,0
Africa,Gambia (Republic of The),UN-CTS,2022,0
Africa,Gambia (Republic of The),UN-IAFQ,2019,0
Africa,Gambia (Republic of The),UN-IAFQ,2020,0
Africa,Gambia (Republic of The),UN-IAFQ,2021,0
Africa,Gambia (Republic of The),UN-IAFQ,2022,0
Africa,Ghana,ARQ,2019,1
Africa,Ghana,ARQ,2020,0
Africa,Ghana,ARQ,2021,1
Africa,Ghana,ARQ,2022,1
Africa,Ghana,GLOTIP,2019,0
